1,29460,255.79
2,29994,257.93
3,23007,220.74
4,24230,227.42
5,21839,213.45
6,22956,219.86
7,27062,241.81
8,45580,364.67
9,24257,266.63
10,21001,210.92
11,20030,221.90
12,23302,250.80
1,29460,255.79
2,29994,257.93
3,23007,220.74
4,24230,227.42
5,21839,213.45
6,22956,219.86
7,27062,241.81
8,45580,364.67
9,24257,266.63
10,21001,210.92
11,20030,221.90
12,23302,250.80
1,29460,255.79
2,29994,257.93
3,23007,220.74
4,24230,227.42
5,21839,213.45
6,22956,219.86
7,27062,241.81
8,45580,364.67
9,24257,266.63
10,21001,210.92
11,20030,221.90
12,23302,250.80
1,29460,255.79
2,29994,257.93
3,23007,220.74
4,24230,227.42
5,21839,213.45
6,22956,219.86
7,27062,241.81
8,45580,364.67
9,24257,266.63
10,21001,210.92
11,20030,221.90
12,23302,250.80
1,29460,255.79
2,29994,257.93
3,23007,220.74
4,24230,227.42
5,21839,213.45
6,22956,219.86
7,27062,241.81
8,45580,364.67
9,24257,266.63
10,21001,210.92
11,20030,221.90
12,23302,250.80
1,29460,255.79
2,29994,257.93
3,23007,220.74
4,24230,227.42
5,21839,213.45
6,22956,219.86
7,27062,241.81
8,45580,364.67
9,24257,266.63
10,21001,210.92
11,20030,221.90
12,23302,250.80
1,29460,255.79
2,29994,257.93
3,23007,220.74
4,24230,227.42
5,21839,213.45
6,22956,219.86
7,27062,241.81
8,45580,364.67
9,24257,266.63
10,21001,210.92
11,20030,221.90
12,23302,250.80
1,29460,255.79
2,29994,257.93
3,23007,220.74
4,24230,227.42
5,21839,213.45
6,22956,219.86
7,27062,241.81
8,45580,364.67
9,24257,266.63
10,21001,210.92
11,20030,221.90
12,23302,250.80
1,29460,255.79
2,29994,257.93
3,23007,220.74
4,24230,227.42
5,21839,213.45
6,22956,219.86
7,27062,241.81
8,45580,364.67
9,24257,266.63
10,21001,210.92
11,20030,221.90
12,23302,250.80
